fold,family,model,date,day_offset,actual,predicted
0,BEVERAGES,Seasonal naive,2017-04-26,1,58350.0,59979.0
0,BEVERAGES,Seasonal naive,2017-04-27,2,47617.0,49677.0
0,BEVERAGES,Seasonal naive,2017-04-28,3,68118.0,66068.0
0,BEVERAGES,Seasonal naive,2017-04-29,4,98609.0,96655.0
0,BEVERAGES,Seasonal naive,2017-04-30,5,101151.0,126860.0
0,BEVERAGES,Seasonal naive,2017-05-01,6,129197.0,61911.0
0,BEVERAGES,Seasonal naive,2017-05-02,7,72436.0,56369.0
0,BEVERAGES,Seasonal naive,2017-05-03,8,71392.0,59979.0
0,BEVERAGES,Seasonal naive,2017-05-04,9,56089.0,49677.0
0,BEVERAGES,Seasonal naive,2017-05-05,10,65475.0,66068.0
0,BEVERAGES,Seasonal naive,2017-05-06,11,100486.0,96655.0
0,BEVERAGES,Seasonal naive,2017-05-07,12,121316.0,126860.0
0,BEVERAGES,Seasonal naive,2017-05-08,13,63284.0,61911.0
0,BEVERAGES,Seasonal naive,2017-05-09,14,52159.0,56369.0
0,BEVERAGES,Seasonal naive,2017-05-10,15,56213.0,59979.0
0,BEVERAGES,Seasonal naive,2017-05-11,16,48135.0,49677.0
0,BEVERAGES,Seasonal naive,2017-05-12,17,62174.0,66068.0
0,BEVERAGES,Seasonal naive,2017-05-13,18,105447.0,96655.0
0,BEVERAGES,Seasonal naive,2017-05-14,19,83033.0,126860.0
0,BEVERAGES,Seasonal naive,2017-05-15,20,65085.0,61911.0
0,BEVERAGES,Seasonal naive,2017-05-16,21,59464.0,56369.0
0,BEVERAGES,Seasonal naive,2017-05-17,22,61996.0,59979.0
0,BEVERAGES,Seasonal naive,2017-05-18,23,48118.0,49677.0
0,BEVERAGES,Seasonal naive,2017-05-19,24,65291.0,66068.0
0,BEVERAGES,Seasonal naive,2017-05-20,25,97524.0,96655.0
0,BEVERAGES,Seasonal naive,2017-05-21,26,118750.0,126860.0
0,BEVERAGES,Seasonal naive,2017-05-22,27,62955.0,61911.0
0,BEVERAGES,Seasonal naive,2017-05-23,28,53348.0,56369.0
0,BEVERAGES,Prophet,2017-04-26,1,58350.0,59672.09038313717
0,BEVERAGES,Prophet,2017-04-27,2,47617.0,51908.31149849584
0,BEVERAGES,Prophet,2017-04-28,3,68118.0,60620.56534178621
0,BEVERAGES,Prophet,2017-04-29,4,98609.0,83629.29238810908
0,BEVERAGES,Prophet,2017-04-30,5,101151.0,91530.46155569315
0,BEVERAGES,Prophet,2017-05-01,6,129197.0,65913.7924795463
0,BEVERAGES,Prophet,2017-05-02,7,72436.0,54021.69412360292
