family,model,safety_stock,reorder_point,avg_on_hand,total_demand,stockout_units,fill_rate,holding_cost,stockout_cost,total_cost
BEVERAGES,Prophet,59129.41420418446,564109.6457254295,66420.02929546512,8253815.0,108506.70854914095,0.9868537508353239,371952.1640546047,217013.4170982819,588965.5811528866
BEVERAGES,Seasonal naive,59090.60215775632,576239.1021577563,77033.30367375108,8253815.0,84247.79568448733,0.9897928660038434,431386.5005730061,168495.59136897465,599882.0919419808
BEVERAGES,XGBoost,49167.73294153638,554822.129670052,58795.44464263152,8253815.0,135113.61098984408,0.9836301624170345,329254.48999873654,270227.22197968815,599481.7119784247
BREAD/BAKERY,Prophet,5331.247528714334,88940.68230392833,12218.377490289957,1259864.733,2523.8906960716668,0.9979966970818671,68422.91394562376,5047.7813921433335,73470.6953377671
BREAD/BAKERY,Seasonal naive,6451.974284243878,85102.57053424387,8711.793201930292,1259864.733,7828.33039726837,0.9937863723047256,48786.04193080963,15656.66079453674,64442.702725346375
BREAD/BAKERY,XGBoost,8292.371344311363,99917.69867585434,23037.65069371148,1259864.733,0.0,1.0,129010.84388478429,0.0,129010.84388478429
CLEANING,Prophet,15320.314450250771,166994.92791805114,20247.445938538352,2451080.0,50413.28832779545,0.9794322142370728,113385.69725581478,100826.5766555909,214212.2739114057
CLEANING,Seasonal naive,18966.23443977707,166330.23443977706,19748.9258298328,2451080.0,53072.06224089174,0.9783474785641874,110593.98464706367,106144.12448178348,216738.10912884714
CLEANING,XGBoost,16347.019385208276,171401.08823286454,23552.0661746484,2451080.0,32788.647068541846,0.9866227756464326,131891.57057803107,65577.29413708369,197468.86471511476
DAIRY,Prophet,11853.56661955027,154187.8895322414,18215.537269282642,2255022.0,28230.220935517224,0.987481177152366,102007.0087079828,56460.44187103445,158467.45057901723
DAIRY,Seasonal naive,13985.116317383148,154873.61631738316,18815.54820628169,2255022.0,26858.76736523368,0.9880893546203835,105367.06995517747,53717.53473046736,159084.60468564485
DAIRY,XGBoost,13224.924052182616,162292.7819013037,25333.366961043652,2255022.0,12437.218098696292,0.99448465775558,141866.85498184446,24874.436197392584,166741.29117923704
GROCERY I,Prophet,58362.89280187874,669157.3815173215,81265.35462568082,9790245.0,161498.85544803564,0.9835041048055452,455085.9859038126,322997.7108960713,778083.6967998839
GROCERY I,Seasonal naive,65956.64085687674,657642.6408568767,71909.62783906948,9790245.0,196043.0774293698,0.9799756719643513,402693.91589878907,392086.1548587396,794780.0707575287
GROCERY I,XGBoost,60614.14087952471,632632.6047467123,52943.31070289134,9790245.0,292742.581013151,0.9700985439063935,296482.5399361915,585485.162026302,881967.7019624935
MEATS,Prophet,7505.088680068362,71069.48427653043,10510.509160459007,992492.9180000001,0.0,1.0,58858.851298570444,0.0,58858.851298570444
MEATS,Seasonal naive,5828.250350712511,66809.36135071251,6665.904543882488,992492.9180000001,6648.292947862461,0.9933014202647817,37329.06544574194,13296.585895724922,50625.65134146686
MEATS,XGBoost,10533.283343527857,94501.32963869387,33942.354522622445,992492.9180000001,0.0,1.0,190077.1853266857,0.0,190077.1853266857
POULTRY,Prophet,7240.934518744024,76033.6869511341,6573.268281725033,1167769.8290000004,29375.03314659768,0.974845185740282,36810.30237766019,58750.06629319536,95560.36867085556
POULTRY,Seasonal naive,8879.076092250274,81274.45284225026,10831.390568256911,1167769.8290000004,13652.735473249204,0.9883087102148028,60655.7871822387,27305.470946498408,87961.25812873711
POULTRY,XGBoost,11993.255782614468,105059.46824599337,33763.110004921946,1167769.8290000004,0.0,1.0,189073.4160275629,0.0,189073.4160275629
PRODUCE,Prophet,56491.27017094717,439945.6965493011,45147.02713242418,6487858.7080000015,17836.998901397834,0.9972507109503782,252823.3519415754,35673.99780279567,288497.3497443711
PRODUCE,Seasonal naive,35409.815519878735,440330.5110198788,45483.73979417966,6487858.7080000015,17067.369960242446,0.9973693369833722,254708.9428474061,34134.73992048489,288843.682767891
PRODUCE,XGBoost,35652.367549983086,463066.43761834246,67152.95577012819,6487858.7080000015,0.0,1.0,376056.5523127179,0.0,376056.5523127179
