date,family,model,fold,actual,predicted
2017-04-26,BEVERAGES,Seasonal naive,0,58350.0,59979.0
2017-04-27,BEVERAGES,Seasonal naive,0,47617.0,49677.0
2017-04-28,BEVERAGES,Seasonal naive,0,68118.0,66068.0
2017-04-29,BEVERAGES,Seasonal naive,0,98609.0,96655.0
2017-04-30,BEVERAGES,Seasonal naive,0,101151.0,126860.0
2017-05-01,BEVERAGES,Seasonal naive,0,129197.0,61911.0
2017-05-02,BEVERAGES,Seasonal naive,0,72436.0,56369.0
2017-05-03,BEVERAGES,Seasonal naive,0,71392.0,59979.0
2017-05-04,BEVERAGES,Seasonal naive,0,56089.0,49677.0
2017-05-05,BEVERAGES,Seasonal naive,0,65475.0,66068.0
2017-05-06,BEVERAGES,Seasonal naive,0,100486.0,96655.0
2017-05-07,BEVERAGES,Seasonal naive,0,121316.0,126860.0
2017-05-08,BEVERAGES,Seasonal naive,0,63284.0,61911.0
2017-05-09,BEVERAGES,Seasonal naive,0,52159.0,56369.0
2017-05-10,BEVERAGES,Seasonal naive,0,56213.0,59979.0
2017-05-11,BEVERAGES,Seasonal naive,0,48135.0,49677.0
2017-05-12,BEVERAGES,Seasonal naive,0,62174.0,66068.0
2017-05-13,BEVERAGES,Seasonal naive,0,105447.0,96655.0
2017-05-14,BEVERAGES,Seasonal naive,0,83033.0,126860.0
2017-05-15,BEVERAGES,Seasonal naive,0,65085.0,61911.0
2017-05-16,BEVERAGES,Seasonal naive,0,59464.0,56369.0
2017-05-17,BEVERAGES,Seasonal naive,0,61996.0,59979.0
2017-05-18,BEVERAGES,Seasonal naive,0,48118.0,49677.0
2017-05-19,BEVERAGES,Seasonal naive,0,65291.0,66068.0
2017-05-20,BEVERAGES,Seasonal naive,0,97524.0,96655.0
2017-05-21,BEVERAGES,Seasonal naive,0,118750.0,126860.0
2017-05-22,BEVERAGES,Seasonal naive,0,62955.0,61911.0
2017-05-23,BEVERAGES,Seasonal naive,0,53348.0,56369.0
2017-04-26,BEVERAGES,Prophet,0,58350.0,59672.09038313717
2017-04-27,BEVERAGES,Prophet,0,47617.0,51908.31149849584
2017-04-28,BEVERAGES,Prophet,0,68118.0,60620.56534178621
2017-04-29,BEVERAGES,Prophet,0,98609.0,83629.29238810908
2017-04-30,BEVERAGES,Prophet,0,101151.0,91530.46155569315
2017-05-01,BEVERAGES,Prophet,0,129197.0,65913.7924795463
2017-05-02,BEVERAGES,Prophet,0,72436.0,54021.69412360292
2017-05-03,BEVERAGES,Prophet,0,71392.0,56543.04323517626
2017-05-04,BEVERAGES,Prophet,0,56089.0,47248.05414987628
2017-05-05,BEVERAGES,Prophet,0,65475.0,55929.87735076383
2017-05-06,BEVERAGES,Prophet,0,100486.0,78676.68345478311
2017-05-07,BEVERAGES,Prophet,0,121316.0,87379.67281242975
2017-05-08,BEVERAGES,Prophet,0,63284.0,56654.85380831289
2017-05-09,BEVERAGES,Prophet,0,52159.0,50474.48757418785
